,state,Actions Rewards
110,"([(1.0, 4.0), (10.0, 18.0)], 4, [(1.0, 4.0), (0, 8.0)], 3)",[-0.28939092 -0.29281021 -0.29595647]
111,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 3)",[-0.95010139 -0.95845984 -0.96144625]
112,"([(0, -1.0), (1.0, 4.0)], 4, [(1.0, 9.0), (1.0, 4.0)], 2)",[-64.43668184 -63.59073384 -51.78932017]
113,"([(1.0, 9.0), (1.0, 4.0)], 4, [(11.0, 19.0), (1.0, 4.0)], 2)",[-39.87359569 -39.74990131 -37.85746071]
114,"([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (5.0, 13.0)], 1)",[-69.99886915 -69.00824818 -70.20303244]
115,"([(19.0, 22.0), (5.0, 13.0)], 4, [(19.0, 22.0), (15.0, 23.0)], 1)",[-3.41905921 -1.02778463 -5.92805066]
116,"([(11.0, 20.0), (1.0, 4.0)], 4, [(21.0, 24), (1.0, 4.0)], 2)",[0. 0. 0.]
117,"([(23.0, 24), (19.0, 22.0)], 4, [(13.0, 22.0), (19.0, 22.0)], 2)",[-13.91078764 -13.78438659 -15.46742465]
118,"([(14.0, 23.0), (19.0, 22.0)], 4, [(4.0, 13.0), (19.0, 22.0)], 2)",[-11.68988258  -6.77694318 -10.4358573 ]
119,"([(5.0, 13.0), (19.0, 22.0)], 4, [(0, 3.0), (19.0, 22.0)], 2)",[-0.1881416  -0.18618233 -0.18691038]
120,"([(5.0, 14.0), (1.0, 4.0)], 4, [(15.0, 24), (1.0, 4.0)], 2)",[ -1.19131051 -42.16000532 -52.1663481 ]
121,"([(1.0, 4.0), (12.0, 20.0)], 4, [(1.0, 4.0), (2.0, 10.0)], 1)",[-0.99006174 -1.27891157 -0.51081595]
122,"([(19.0, 22.0), (0, -1.0)], 4, [(19.0, 22.0), (0, 9.0)], 2)",[-46.71203735 -29.83787154 -39.25677103]
123,"([(19.0, 22.0), (2.0, 10.0)], 4, [(19.0, 22.0), (12.0, 20.0)], 2)",[-29.60794441 -31.55816171  -9.49133888]
124,"([(19.0, 22.0), (11.0, 20.0)], 4, [(19.0, 22.0), (21.0, 24)], 2)",[0. 0. 0.]
125,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (13.0, 22.0)], 3)",[-0.9915045  -0.99334318 -0.99608337]
126,"([(12.0, 21.0), (1.0, 4.0)], 4, [(22.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
127,"([(1.0, 4.0), (8.0, 16.0)], 4, [(1.0, 4.0), (0, 6.0)], 1)",[-0.28482617 -0.25510348 -0.28593226]
128,"([(1.0, 4.0), (16.0, 24)], 4, [(1.0, 4.0), (6.0, 15.0)], 1)",[-2.02408051 -0.76722606 -1.90597337]
129,"([(1.0, 4.0), (7.0, 15.0)], 4, [(1.0, 4.0), (0, 5.0)], 1)",[-0.22907612 -0.23879946 -0.2372991 ]
130,"([(3.0, 11.0), (19.0, 22.0)], 4, [(0, 1.0), (19.0, 22.0)], 1)",[0. 0. 0.]
131,"([(3.0, 12.0), (1.0, 4.0)], 4, [(13.0, 22.0), (1.0, 4.0)], 1)",[-149.24042026 -142.48603381 -122.50267931]
132,"([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (1.0, 10.0)], 3)",[-0.50800416 -0.50331579 -0.49488485]
133,"([(1.0, 4.0), (3.0, 11.0)], 4, [(1.0, 4.0), (0, 1.0)], 3)",[0. 0. 0.]
134,"([(19.0, 22.0), (0, 7.0)], 4, [(19.0, 22.0), (8.0, 17.0)], 1)",[-1.46306405 -6.54181837 -5.89348653]
135,"([(19.0, 22.0), (9.0, 18.0)], 4, [(19.0, 22.0), (19.0, 24)], 1)",[-0.23428543 -0.24247914 -0.24200226]
136,"([(1.0, 4.0), (9.0, 17.0)], 4, [(1.0, 4.0), (0, 7.0)], 1)",[-26.71729717 -18.74448362 -12.62374007]
137,"([(13.0, 21.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 1)",[-14.99706945 -15.11177922 -14.70167194]
138,"([(0, 7.0), (1.0, 4.0)], 4, [(8.0, 17.0), (1.0, 4.0)], 1)",[-3.35786422 -0.95921233 -1.67334503]
139,"([(1.0, 4.0), (8.0, 16.0)], 4, [(1.0, 4.0), (0, 6.0)], 3)",[-0.17639598 -0.17607412 -0.17713729]
140,"([(0, 3.0), (1.0, 4.0)], 4, [(4.0, 13.0), (1.0, 4.0)], 2)",[-114.90428273 -125.02092603 -123.595705  ]
141,"([(6.0, 14.0), (1.0, 4.0)], 4, [(16.0, 24), (1.0, 4.0)], 2)",[-181.3593608   -95.76573311 -185.91194582]
142,"([(4.0, 12.0), (1.0, 4.0)], 4, [(14.0, 22.0), (1.0, 4.0)], 1)",[-268.93094789 -191.77973213 -272.11579335]
