,state,Actions Rewards
80,"(([(19.0, 22.0), (0, 3.0)], 2, [(19.0, 22.0), (0, 5.0)], 2), ([(3.0, 12.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 1))",[-0.01457402  0.          0.        ]
81,"(([(3.0, 12.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 3.0)], 2, [(19.0, 22.0), (0, 5.0)], 2))",[-0.01305546  0.          0.        ]
82,"(([(19.0, 22.0), (0, 6.0)], 2, [(19.0, 22.0), (0, 8.0)], 2), ([(6.0, 15.0), (1.0, 4.0)], 3, [(11.0, 20.0), (1.0, 4.0)], 1))",[-4.19291404  0.          0.        ]
83,"(([(6.0, 15.0), (1.0, 4.0)], 3, [(11.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 6.0)], 2, [(19.0, 22.0), (0, 8.0)], 2))",[-0.10640829  0.          0.        ]
84,"(([(1.0, 4.0), (6.0, 14.0)], 4, [(1.0, 4.0), (0, 6.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1))",[0. 0. 0.]
85,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (6.0, 14.0)], 4, [(1.0, 4.0), (0, 6.0)], 1))",[0. 0. 0.]
86,"(([(1.0, 4.0), (16.0, 24)], 0, [(1.0, 4.0), (14.0, 23.0)], 1), ([(11.0, 19.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 1))",[-50.   0.   0.]
87,"(([(11.0, 19.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (16.0, 24)], 0, [(1.0, 4.0), (14.0, 23.0)], 1))",[-0.01214746  0.          0.        ]
88,"(([(1.0, 4.0), (16.0, 24)], 0, [(1.0, 4.0), (14.0, 23.0)], 1), ([(8.0, 16.0), (19.0, 22.0)], 3, [(3.0, 11.0), (19.0, 22.0)], 1))",[-148.53353263    0.            0.        ]
89,"(([(8.0, 16.0), (19.0, 22.0)], 3, [(3.0, 11.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (16.0, 24)], 0, [(1.0, 4.0), (14.0, 23.0)], 1))",[-98.73188535   0.           0.        ]
90,"(([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2), ([(22.0, 24), (19.0, 22.0)], 1, [(20.0, 24), (19.0, 22.0)], 1))",[-0.01961547 -7.81342611 -9.76123123]
91,"(([(22.0, 24), (19.0, 22.0)], 1, [(20.0, 24), (19.0, 22.0)], 1), ([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2))",[-1.72209450e-02 -5.61974079e+01 -3.01066416e-02]
